"region","time","date","period","b1"
"Hanover County, VA",0,2020-03-16,"baseline",-0.03
"Hanover County, VA",1,2020-03-17,"baseline",-0.03
"Hanover County, VA",2,2020-03-18,"baseline",-0.03
"Hanover County, VA",3,2020-03-19,"baseline",-0.03
"Hanover County, VA",3,2020-03-19,"step1",0
"Hanover County, VA",4,2020-03-20,"step1",0
"Hanover County, VA",5,2020-03-21,"step1",0
"Hanover County, VA",5,2020-03-21,"step2",0
"Hanover County, VA",6,2020-03-22,"step2",0
"Hanover County, VA",7,2020-03-23,"step2",0
"Hanover County, VA",7,2020-03-23,"step3",0.06
"Hanover County, VA",8,2020-03-24,"step3",0.06
"Hanover County, VA",9,2020-03-25,"step3",0.06
"Hanover County, VA",9,2020-03-25,"step4",0.3
"Hanover County, VA",10,2020-03-26,"step4",0.3
"Hanover County, VA",11,2020-03-27,"step4",0.3
"Hanover County, VA",11,2020-03-27,"step5",0.29
"Hanover County, VA",12,2020-03-28,"step5",0.29
"Hanover County, VA",13,2020-03-29,"step5",0.29
"Hanover County, VA",13,2020-03-29,"step6",0.28
"Hanover County, VA",14,2020-03-30,"step6",0.28
"Hanover County, VA",15,2020-03-31,"step6",0.28
"Hanover County, VA",15,2020-03-31,"step7",0.28
"Hanover County, VA",16,2020-04-01,"step7",0.28
"Hanover County, VA",17,2020-04-02,"step7",0.28
"Hanover County, VA",17,2020-04-02,"step8",0.26
"Hanover County, VA",18,2020-04-03,"step8",0.26
"Hanover County, VA",19,2020-04-04,"step8",0.26
"Hanover County, VA",19,2020-04-04,"step9",0.23
"Hanover County, VA",20,2020-04-05,"step9",0.23
"Hanover County, VA",21,2020-04-06,"step9",0.23
"Hanover County, VA",21,2020-04-06,"step10",0.19
"Hanover County, VA",22,2020-04-07,"step10",0.19
"Hanover County, VA",23,2020-04-08,"step10",0.19
"Hanover County, VA",23,2020-04-08,"step11",0.17
"Hanover County, VA",24,2020-04-09,"step11",0.17
"Hanover County, VA",25,2020-04-10,"step11",0.17
"Hanover County, VA",25,2020-04-10,"step12",0.15
"Hanover County, VA",26,2020-04-11,"step12",0.15
"Hanover County, VA",27,2020-04-12,"step12",0.15
"Hanover County, VA",27,2020-04-12,"step13",0.13
"Hanover County, VA",28,2020-04-13,"step13",0.13
"Hanover County, VA",29,2020-04-14,"step13",0.13
"Hanover County, VA",29,2020-04-14,"step14",0.12
"Hanover County, VA",30,2020-04-15,"step14",0.12
"Hanover County, VA",31,2020-04-16,"step14",0.12
"Hanover County, VA",31,2020-04-16,"step15",0.11
"Hanover County, VA",32,2020-04-17,"step15",0.11
"Hanover County, VA",33,2020-04-18,"step15",0.11
"Hanover County, VA",33,2020-04-18,"step16",0.1
"Hanover County, VA",34,2020-04-19,"step16",0.1
"Hanover County, VA",35,2020-04-20,"step16",0.1
"Hanover County, VA",35,2020-04-20,"step17",0.1
"Hanover County, VA",36,2020-04-21,"step17",0.1
"Hanover County, VA",37,2020-04-22,"step17",0.1
"Hanover County, VA",37,2020-04-22,"step18",0.1
"Hanover County, VA",38,2020-04-23,"step18",0.1
"Hanover County, VA",39,2020-04-24,"step18",0.1
"Hanover County, VA",39,2020-04-24,"step19",0.1
"Hanover County, VA",40,2020-04-25,"step19",0.1
"Hanover County, VA",41,2020-04-26,"step19",0.1
"Hanover County, VA",41,2020-04-26,"step20",0.09
"Hanover County, VA",42,2020-04-27,"step20",0.09
"Hanover County, VA",43,2020-04-28,"step20",0.09
"Hanover County, VA",43,2020-04-28,"step21",0.09
"Hanover County, VA",44,2020-04-29,"step21",0.09
"Hanover County, VA",45,2020-04-30,"step21",0.09
"Hanover County, VA",45,2020-04-30,"step22",0.1
"Hanover County, VA",46,2020-05-01,"step22",0.1
"Hanover County, VA",47,2020-05-02,"step22",0.1
"Hanover County, VA",47,2020-05-02,"step23",0.08
"Hanover County, VA",48,2020-05-03,"step23",0.08
"Hanover County, VA",49,2020-05-04,"step23",0.08
"Hanover County, VA",49,2020-05-04,"step24",0.09
"Hanover County, VA",50,2020-05-05,"step24",0.09
"Hanover County, VA",51,2020-05-06,"step24",0.09
"Hanover County, VA",51,2020-05-06,"step25",0.01
"Hanover County, VA",52,2020-05-07,"step25",0.01
"Hanover County, VA",53,2020-05-08,"step25",0.01
"Hanover County, VA",53,2020-05-08,"step26",0
"Hanover County, VA",54,2020-05-09,"step26",0
"Hanover County, VA",55,2020-05-10,"step26",0
