"region","time","date","period","b1"
"Horry County, SC",0,2020-02-29,"baseline",0.21
"Horry County, SC",1,2020-03-01,"baseline",0.21
"Horry County, SC",2,2020-03-02,"baseline",0.21
"Horry County, SC",3,2020-03-03,"baseline",0.21
"Horry County, SC",4,2020-03-04,"baseline",0.21
"Horry County, SC",5,2020-03-05,"baseline",0.21
"Horry County, SC",6,2020-03-06,"baseline",0.21
"Horry County, SC",7,2020-03-07,"baseline",0.21
"Horry County, SC",8,2020-03-08,"baseline",0.21
"Horry County, SC",9,2020-03-09,"baseline",0.21
"Horry County, SC",10,2020-03-10,"baseline",0.21
"Horry County, SC",11,2020-03-11,"baseline",0.21
"Horry County, SC",12,2020-03-12,"baseline",0.21
"Horry County, SC",13,2020-03-13,"baseline",0.21
"Horry County, SC",14,2020-03-14,"baseline",0.21
"Horry County, SC",15,2020-03-15,"baseline",0.21
"Horry County, SC",16,2020-03-16,"baseline",0.21
"Horry County, SC",17,2020-03-17,"baseline",0.21
"Horry County, SC",17,2020-03-17,"step1",0.42
"Horry County, SC",18,2020-03-18,"step1",0.42
"Horry County, SC",19,2020-03-19,"step1",0.42
"Horry County, SC",19,2020-03-19,"step2",0.36
"Horry County, SC",20,2020-03-20,"step2",0.36
"Horry County, SC",20,2020-03-20,"step3",0.33
"Horry County, SC",21,2020-03-21,"step3",0.33
"Horry County, SC",22,2020-03-22,"step3",0.33
"Horry County, SC",22,2020-03-22,"step4",0.29
"Horry County, SC",23,2020-03-23,"step4",0.29
"Horry County, SC",24,2020-03-24,"step4",0.29
"Horry County, SC",24,2020-03-24,"step5",0.25
"Horry County, SC",25,2020-03-25,"step5",0.25
"Horry County, SC",26,2020-03-26,"step5",0.25
"Horry County, SC",26,2020-03-26,"step6",0.21
"Horry County, SC",27,2020-03-27,"step6",0.21
"Horry County, SC",28,2020-03-28,"step6",0.21
"Horry County, SC",28,2020-03-28,"step7",0.19
"Horry County, SC",29,2020-03-29,"step7",0.19
"Horry County, SC",30,2020-03-30,"step7",0.19
"Horry County, SC",30,2020-03-30,"step8",0.17
"Horry County, SC",31,2020-03-31,"step8",0.17
"Horry County, SC",32,2020-04-01,"step8",0.17
"Horry County, SC",32,2020-04-01,"step9",0.15
"Horry County, SC",33,2020-04-02,"step9",0.15
"Horry County, SC",34,2020-04-03,"step9",0.15
"Horry County, SC",34,2020-04-03,"step10",0.13
"Horry County, SC",35,2020-04-04,"step10",0.13
"Horry County, SC",36,2020-04-05,"step10",0.13
"Horry County, SC",36,2020-04-05,"step11",0.11
"Horry County, SC",37,2020-04-06,"step11",0.11
"Horry County, SC",38,2020-04-07,"step11",0.11
"Horry County, SC",38,2020-04-07,"step12",0.1
"Horry County, SC",39,2020-04-08,"step12",0.1
"Horry County, SC",40,2020-04-09,"step12",0.1
"Horry County, SC",40,2020-04-09,"step13",0.1
"Horry County, SC",41,2020-04-10,"step13",0.1
"Horry County, SC",42,2020-04-11,"step13",0.1
"Horry County, SC",42,2020-04-11,"step14",0.09
"Horry County, SC",43,2020-04-12,"step14",0.09
"Horry County, SC",44,2020-04-13,"step14",0.09
"Horry County, SC",44,2020-04-13,"step15",0.1
"Horry County, SC",45,2020-04-14,"step15",0.1
"Horry County, SC",46,2020-04-15,"step15",0.1
"Horry County, SC",46,2020-04-15,"step17",0.09
"Horry County, SC",47,2020-04-16,"step17",0.09
"Horry County, SC",48,2020-04-17,"step17",0.09
"Horry County, SC",48,2020-04-17,"step18",0.09
"Horry County, SC",49,2020-04-18,"step18",0.09
"Horry County, SC",50,2020-04-19,"step18",0.09
"Horry County, SC",50,2020-04-19,"step19",0.09
"Horry County, SC",51,2020-04-20,"step19",0.09
"Horry County, SC",52,2020-04-21,"step19",0.09
"Horry County, SC",52,2020-04-21,"step20",0.08
"Horry County, SC",53,2020-04-22,"step20",0.08
"Horry County, SC",54,2020-04-23,"step20",0.08
"Horry County, SC",54,2020-04-23,"step21",0.07
"Horry County, SC",55,2020-04-24,"step21",0.07
"Horry County, SC",56,2020-04-25,"step21",0.07
"Horry County, SC",56,2020-04-25,"step22",0.02
"Horry County, SC",57,2020-04-26,"step22",0.02
"Horry County, SC",58,2020-04-27,"step22",0.02
"Horry County, SC",58,2020-04-27,"step23",0
"Horry County, SC",59,2020-04-28,"step23",0
"Horry County, SC",60,2020-04-29,"step23",0
